category,article_id,title,source,ground_truth_format,pdf_url,text_url,verification
vaccine_autism,arxiv:1905.12616v3,Defending Against Neural Fake News,arxiv,arxiv_latex_source,https://arxiv.org/pdf/1905.12616v3.pdf,https://arxiv.org/src/1905.12616v3,Official arXiv LaTeX source (authors' original)
vaccine_autism,arxiv:1409.2651v1,Social determinants of content selection in the age of (mis)information,arxiv,arxiv_latex_source,https://arxiv.org/pdf/1409.2651v1.pdf,https://arxiv.org/src/1409.2651v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.08356v1,Measuring Strategy-Decay Risk: Minimum Regime Performance and the Durability of Systematic Investing,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.08356v1.pdf,https://arxiv.org/src/2604.08356v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.08334v1,mmid: Multi-Modal Integration and Downstream analyses for healthcare analytics in Python,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.08334v1.pdf,https://arxiv.org/src/2604.08334v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.07557v1,Validated Synthetic Patient Generation for Small Longitudinal Cohorts: Coagulation Dynamics Across Pregnancy,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.07557v1.pdf,https://arxiv.org/src/2604.07557v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.07493v1,Differentially Private Modeling of Disease Transmission within Human Contact Networks,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.07493v1.pdf,https://arxiv.org/src/2604.07493v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.07309v1,Generation time in a discrete epidemic model with asymptomatic carriers: beyond geometric waiting times,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.07309v1.pdf,https://arxiv.org/src/2604.07309v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.06499v1,Equivalence Testing Under Privacy Constraints,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.06499v1.pdf,https://arxiv.org/src/2604.06499v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.04858v1,FairLogue: A Toolkit for Intersectional Fairness Analysis in Clinical Machine Learning Models,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.04858v1.pdf,https://arxiv.org/src/2604.04858v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.04032v1,Bootstrap-Aggregated Method-of-Moments Estimation of the Copula Correlation Parameter for Marginal Survival Inference under Dependent Censoring,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.04032v1.pdf,https://arxiv.org/src/2604.04032v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.03970v1,Learning association from multiple intermediate events for dynamic prediction of survival: an application to cardiovascular disease prognosis,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.03970v1.pdf,https://arxiv.org/src/2604.03970v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.02886v1,High-dimensional Many-to-many-to-many Mediation Analysis,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.02886v1.pdf,https://arxiv.org/src/2604.02886v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.02454v1,"Remote, bivariate expert elicitation to determine the prior probability distribution for sample size calculation in a Bayesian non-inferiority multicenter randomized controlled trial (Croup Dosing Trial)",arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.02454v1.pdf,https://arxiv.org/src/2604.02454v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.01734v1,A Novel Multi-view Mixture Model Framework for Longitudinal Clustering with Application to ANCA-Associated Vasculitis,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.01734v1.pdf,https://arxiv.org/src/2604.01734v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.01475v1,Interpretable Electrophysiological Features of Resting-State EEG Capture Cortical Network Dynamics in Parkinsons Disease,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.01475v1.pdf,https://arxiv.org/src/2604.01475v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.01385v1,Strategies for tumor elimination and control under immune evasion and chemotherapy resistance,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.01385v1.pdf,https://arxiv.org/src/2604.01385v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.00871v1,Analytical characterisation of the Mi- and To-phases in HeMiTo dynamics: exponential growth and logistic saturation of toxic prion-like proteins,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.00871v1.pdf,https://arxiv.org/src/2604.00871v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2604.00251v1,Evaluation of neuroCombat and deep learning harmonization for multi-site magnetic resonance neuroimaging in youth with prenatal alcohol exposure,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2604.00251v1.pdf,https://arxiv.org/src/2604.00251v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2603.29316v1,A Bayesian Finite Mixture Model Approach for Mixed-type Data Clustering and Variable Selection with Censored Biomarkers,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2603.29316v1.pdf,https://arxiv.org/src/2603.29316v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2603.28930v1,Retrospective Economic Evaluation of Group Testing in the COVID-19 Pandemic,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2603.28930v1.pdf,https://arxiv.org/src/2603.28930v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2603.27276v1,PyINLA: Fast Bayesian Inference for Latent Gaussian Models in Python,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2603.27276v1.pdf,https://arxiv.org/src/2603.27276v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2603.27104v1,Autonomous Agent-Orchestrated Digital Twins (AADT): Leveraging the OpenClaw Framework for State Synchronization in Rare Genetic Disorders,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2603.27104v1.pdf,https://arxiv.org/src/2603.27104v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2603.27095v2,Socioeconomic Drivers of Physical Morbidity Across U.S. Counties: A Spatial Causal Inference Approach,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2603.27095v2.pdf,https://arxiv.org/src/2603.27095v2,Official arXiv LaTeX source (authors' original)
other,arxiv:2603.26994v1,ImmSET: Sequence-Based Predictor of TCR-pMHC Specificity at Scale,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2603.26994v1.pdf,https://arxiv.org/src/2603.26994v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2603.26935v1,The Load Management Paradox: Correcting the Healthy-Worker Survivor Effect in NBA Injury Modeling,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2603.26935v1.pdf,https://arxiv.org/src/2603.26935v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2603.26914v1,A Bayesian Functional Concurrent Zero-Inflated Dirichlet-Multinomial Regression Model with Application to Infant Microbiome,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2603.26914v1.pdf,https://arxiv.org/src/2603.26914v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2603.26913v1,Synthesizing the Counterfactual: A CTGAN-Augmented Causal Evaluation of Palliative Care on Spousal Depression,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2603.26913v1.pdf,https://arxiv.org/src/2603.26913v1,Official arXiv LaTeX source (authors' original)
other,arxiv:2603.26888v1,Statistical modeling of breast cancer radiomic features and hazard using image registration-aided longitudinal CT data,arxiv,arxiv_latex_source,https://arxiv.org/pdf/2603.26888v1.pdf,https://arxiv.org/src/2603.26888v1,Official arXiv LaTeX source (authors' original)
